name,categories,lat,lng,id,venue_id
Cali Restaurant,Vietnamese Restaurant,43.65506808,-79.386375,4c476d6719fde21e32410876,
Wah Too Seafood Restaurant,Chinese Restaurant,43.65483285234745,-79.38720597193928,4c69740b8d22c9284d42b745,
Spring Rolls | Japanese Restaurant in Toronto,Theme Restaurant,43.65610515821675,-79.38349485397339,56dd9d68498eb4e5edcb30f9,
Hong Shing Chinese Restaurant,Chinese Restaurant,43.65492521335936,-79.38708916106386,4b2027b5f964a520f82d24e3,60327598
New Treasure Restaurant,Dim Sum Restaurant,43.65538444237565,-79.3853618106867,4b2a674ef964a52074a824e3,
Alio Restaurant & Wine Bar,Italian Restaurant,43.65565507065502,-79.3841236014983,4ae9ef82f964a520cbb721e3,
Yueh Tung Chinese Restaurant,Chinese Restaurant,43.655281263429195,-79.3853365267765,52a7ae41498eed3af4d0a3fa,
Kyoto House Japanese Restaurant,Sushi Restaurant,43.65538110598594,-79.38527010094231,4ae4b055f964a520229d21e3,
Ali Baba's,Middle Eastern Restaurant,43.65491647880546,-79.38717216891472,4ddd83c788779c82beb061fc,
Lai Wah Heen,Chinese Restaurant,43.65503785867478,-79.38589043402241,4ad4c060f964a5205cf720e3,
Valens Restaurants,Restaurant,43.65609618431269,-79.39283865916013,4d8a7d78bc848cfabd63db2b,
Castries Bar & Five Way Restaurant,Caribbean Restaurant,43.654727935791016,-79.38092803955078,53ae6660498e1ac3c1282743,
Terrace Restaurant at Elmwood,American Restaurant,43.65610066909799,-79.38148016065777,4edbccaaf9abeea3db5268df,
The Senator Restaurant,Diner,43.65564091455335,-79.37919882575557,4ad7929cf964a520500c21e3,55585058
Akashiro Japanese Restaurant & Bar,Sushi Restaurant,43.65596504293232,-79.38054070644233,4fbbb3ace4b01e39077b4d55,
Mt. Fuji Japanese Restaurant,Japanese Restaurant,43.658555,-79.384992,4c12b8ba82a3c9b6083ffaf8,
Joe's Indian Restaurant,Indian Restaurant,43.65814977325445,-79.38156263736568,5165c333e4b07a7ad88d8a69,
The Elm Tree Restaurant,Modern European Restaurant,43.65739749535259,-79.38376054171513,539c6f13498e06f4cc765165,88534436
Adega Restaurant,Restaurant,43.65751886446546,-79.38346181502347,4ad4c060f964a52070f720e3,
Donatello Restaurant,Italian Restaurant,43.657489310288014,-79.38360495100461,4afcc52df964a520b82522e3,
KAKA,Japanese Restaurant,43.65745745164475,-79.38419169987876,5a62412b1108ba191da5ba06,
Fran's,Diner,43.65426474929814,-79.37912005538317,4ada04eff964a520571d21e3,
McDonald's,Fast Food Restaurant,43.658192,-79.382043,5293ebf411d2f044f678efd8,
City Kitchen,Restaurant,43.65401783830981,-79.37982648714211,532063ce498e106a873aa20b,
Salad King,Thai Restaurant,43.65760101432665,-79.38161963017174,4ad4c061f964a52095f720e3,
Subway,Sandwich Place,43.6564939,-79.3807983,4c6abb8c2c29d13ad2720e41,
JOEY Eaton Centre,New American Restaurant,43.6560936540828,-79.38187792357716,4df909dfe4cd2129701c0690,
Spring Rolls,Asian Restaurant,43.655997379987994,-79.38245534190555,4afb1ff7f964a5205b1b22e3,
T.C.J. Restaurant,Asian Restaurant,43.653364490464604,-79.37547565899231,51e2cd6f498e10d88582ae4f,
